CountryName,CountryCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Poland,POL,2186058.73,2185764.065,2184707.572,2182586.209,2181733.025,2180650.763,2178991.654,2178059.442,2178056.014,2180197.831,2200957.667,2201470.81,2201934.944,22.1293545,22.573978
Portugal,PRT,587998.7331,592160.0783,595411.9665,597651.4008,599082.2431,600194.8326,601278.1783,602459.5657,603329.0013,603904.3742,604181.7256,603293.7632,600852.7569,597564.6635,578952.4
Russian Federation,RUS,8498381.447,8462381.365,8423540.722,8385453.718,8351714.55,8319946.395,8292757.938,8278554.966,8274902.697,8277395.36,8281105.432,8287598.165,8301830.089,8319250.179,8400000
Slovak Republic,SVK,353360.0928,352713.9948,352585.7169,352353.6462,352281.8601,352316.34,352332.6095,352435.294,352737.6401,353207.9777,353537.2857,353993.4163,354596.337,355145.4175,360001.2
Slovenia,SVN,113734.1721,113834.8758,114045.3016,114105.5476,114118.7285,114353.577,114776.5455,115398.8346,115583.0245,116709.1034,117104.8819,117289.755,117505.0243,135024.76,135189.2925
South Africa,ZAF,3092847.474,3138842.681,3185364.991,3232346.853,3279518.818,3326571.783,3373748.955,3420881.162,3466723.23,3509623.573,3548438.019,25974520.48,26192960.42,26292950,27000052
Spain,ESP,2317398.217,2329493.122,2367062.774,2411217.727,2449099.94,2495010.803,2534891.26,2584918.819,2627613.969,2649578.746,2660717.69,2670647.722,2672370.408,2662475.398,2655093.396
Sweden,SWE,506982.6841,508345.6416,510002.5746,511903.7282,513921.0313,515980.4283,518890.8659,522753.0033,526841.2853,531348.6256,535897.8882,539960.0274,543969.2591,549148.1677,550001.3
Switzerland,CHE,410533.2803,412955.9248,416276.3079,419376.1715,422268.9534,424982.6523,427658.0141,431496.9816,437014.6335,442514.0176,447317.1006,452141.617,24.78793025,25.02598825,25.69888
Turkey,TUR,3663615.464,3727823.568,3775660.707,3820894.622,3866691.131,3914148.517,3963142.164,4012128.459,4063395.4,4119684.802,4182071.723,4243982.248,4298352.501,4348439.778,25.824767
United Kingdom,GBR,3364976.559,3377890.817,3346840.984,3362230.931,3379954.455,3405206.993,3428723.268,3456109.134,3484712.372,3509931.873,3537984.29,3567730.701,3591936.396,3613601.537,3637148.582
United States,USA,16123571.15,16283946.96,16435730.67,16577600.74,16731736.62,16886667.92,17050285.27,17213216.62,17376803.72,17529807.08,17676980.64,17812668.9,17949267.1,18085579.12,18220409.69
